"bateria","Tem_Instr_Violao_Viola","Tem_Instr_Guitarra","Tem_Instr_Cavaco","Tem_Instr_Sintetizador_Teclado","Tem_Instr_Piano","Tem_Instr_Metais","Tem_Instr_Madeiras","Tem_Instr_Cordas","BPM","VolMedio","PctCantada","PctRap","duracao","ano_lancamento","aovivo","modo","explicita","gostou","n_reproducao","id_cliente"
"Eletrônica",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,110.275495473565,-6.3221624510694,72.9090142302084,16.308793195307,233021,2004,FALSE,"A#",TRUE,TRUE,2,"#ID7758"
"Acústica",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,117.367073297504,-6.50900651603091,72.6541325899253,0,166437,1999,FALSE,"E",TRUE,TRUE,8,"#ID7758"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,100.134208022007,-12.7178531853979,74.1295565136004,0,159426,2002,FALSE,"c",FALSE,FALSE,5,"#ID7758"
"Eletrônica",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,105.056052960829,-8.08889366481086,78.1239067315572,18.8186518137422,244636,1991,FALSE,"g",FALSE,FALSE,2,"#ID7758"
"Acústica",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,95.7079407664082,-7.56484202906044,74.1590737983335,0,166520,2018,FALSE,"d#",FALSE,TRUE,7,"#ID7758"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,92.2534378619015,-8.64261892874399,73.2112914873044,0,183984,2016,FALSE,"C#",FALSE,FALSE,3,"#ID7758"
"Acústica",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,98.4739477704944,-6.75816212804048,21.2276064964317,62.5389137451017,260626,2001,FALSE,"a",TRUE,TRUE,3,"#ID7758"
"Eletrônica",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,112.007806602334,-5.76232276804834,71.3221887389596,0,264035,1991,FALSE,"f#",TRUE,FALSE,4,"#ID7758"
"Acústica",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,122.446791946373,-7.81765726850706,69.8416100045569,0,203163,2015,FALSE,"a",FALSE,FALSE,3,"#ID7758"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,116.82451536674,-6.94997505448358,72.3636217034742,0,199965,2017,FALSE,"C",FALSE,TRUE,6,"#ID7758"
